Age,MaritalStatus,Occupation,Race,Sex,WeeklyHours,Income
39, Never-married, Adm-clerical, White, Male,40, <=50K
50, Married-civ-spouse, Exec-managerial, White, Male,13, <=50K
38, Divorced, Handlers-cleaners, White, Male,40, <=50K
53, Married-civ-spouse, Handlers-cleaners, Black, Male,40, <=50K
28, Married-civ-spouse, Prof-specialty, Black, Female,40, <=50K
37, Married-civ-spouse, Exec-managerial, White, Female,40, <=50K
49, Married-spouse-absent, Other-service, Black, Female,16, <=50K
52, Married-civ-spouse, Exec-managerial, White, Male,45, >50K
31, Never-married, Prof-specialty, White, Female,50, >50K
42, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
37, Married-civ-spouse, Exec-managerial, Black, Male,80, >50K
30, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, >50K
23, Never-married, Adm-clerical, White, Female,30, <=50K
32, Never-married, Sales, Black, Male,50, <=50K
40, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, >50K
34, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, <=50K
25, Never-married, Farming-fishing, White, Male,35, <=50K
32, Never-married, Machine-op-inspct, White, Male,40, <=50K
38, Married-civ-spouse, Sales, White, Male,50, <=50K
43, Divorced, Exec-managerial, White, Female,45, >50K
40, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
54, Separated, Other-service, Black, Female,20, <=50K
35, Married-civ-spouse, Farming-fishing, Black, Male,40, <=50K
43, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
59, Divorced, Tech-support, White, Female,40, <=50K
56, Married-civ-spouse, Tech-support, White, Male,40, >50K
19, Never-married, Craft-repair, White, Male,40, <=50K
54, Married-civ-spouse, ?, Asian-Pac-Islander, Male,60, >50K
39, Divorced, Exec-managerial, White, Male,80, <=50K
49, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
23, Never-married, Protective-serv, White, Male,52, <=50K
20, Never-married, Sales, Black, Male,44, <=50K
45, Divorced, Exec-managerial, White, Male,40, <=50K
30, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
22, Married-civ-spouse, Other-service, Black, Male,15, <=50K
48, Never-married, Machine-op-inspct, White, Male,40, <=50K
21, Never-married, Machine-op-inspct, White, Male,40, <=50K
19, Married-AF-spouse, Adm-clerical, White, Female,25, <=50K
31, Married-civ-spouse, Sales, White, Male,38, >50K
48, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
31, Married-civ-spouse, Machine-op-inspct, White, Male,43, <=50K
53, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
24, Married-civ-spouse, Tech-support, White, Male,50, <=50K
49, Separated, Adm-clerical, White, Female,40, <=50K
25, Never-married, Handlers-cleaners, White, Male,35, <=50K
57, Married-civ-spouse, Prof-specialty, Black, Male,40, >50K
53, Married-civ-spouse, Machine-op-inspct, White, Male,38, <=50K
44, Divorced, Exec-managerial, White, Female,40, <=50K
41, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
29, Never-married, Prof-specialty, White, Male,43, <=50K
25, Married-civ-spouse, Exec-managerial, Other, Female,40, <=50K
18, Never-married, Other-service, White, Female,30, <=50K
47, Married-civ-spouse, Prof-specialty, White, Female,60, >50K
50, Divorced, Exec-managerial, White, Male,55, >50K
47, Divorced, Exec-managerial, White, Male,60, <=50K
43, Married-civ-spouse, Tech-support, White, Male,40, >50K
46, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
35, Married-civ-spouse, Other-service, White, Male,40, <=50K
41, Married-civ-spouse, Adm-clerical, White, Male,48, <=50K
30, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
30, Married-civ-spouse, Sales, White, Male,40, <=50K
32, Married-spouse-absent, ?, White, Male,40, <=50K
48, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
42, Married-civ-spouse, Prof-specialty, White, Male,45, >50K
29, Divorced, Tech-support, White, Male,58, <=50K
36, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
28, Divorced, Adm-clerical, White, Female,40, <=50K
53, Married-civ-spouse, Adm-clerical, White, Female,40, >50K
49, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
25, Never-married, ?, White, Male,40, <=50K
19, Never-married, Prof-specialty, White, Male,32, <=50K
31, Separated, Sales, Black, Female,40, <=50K
29, Married-civ-spouse, Sales, White, Male,70, >50K
23, Never-married, Machine-op-inspct, White, Male,40, <=50K
79, Married-civ-spouse, Prof-specialty, White, Male,20, <=50K
27, Never-married, Other-service, White, Male,40, <=50K
40, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
67, Married-civ-spouse, ?, White, Male,2, <=50K
18, Never-married, Other-service, White, Female,22, <=50K
31, Married-civ-spouse, Farming-fishing, White, Male,40, <=50K
18, Never-married, Sales, White, Male,30, <=50K
52, Married-civ-spouse, Other-service, White, Male,40, <=50K
46, Married-civ-spouse, Other-service, White, Female,40, <=50K
59, Married-civ-spouse, Sales, White, Male,48, <=50K
44, Divorced, Craft-repair, White, Female,40, >50K
53, Divorced, Sales, White, Female,35, <=50K
49, Married-civ-spouse, Protective-serv, White, Male,40, >50K
33, Married-civ-spouse, Prof-specialty, White, Male,50, <=50K
30, Never-married, Sales, White, Male,40, <=50K
43, Never-married, Prof-specialty, White, Female,50, >50K
57, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
37, Divorced, Craft-repair, White, Female,40, <=50K
28, Divorced, Machine-op-inspct, Black, Female,25, <=50K
30, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35, <=50K
34, Married-civ-spouse, Protective-serv, White, Male,40, >50K
29, Never-married, Handlers-cleaners, White, Male,50, <=50K
48, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
37, Married-civ-spouse, Sales, White, Male,48, >50K
48, Divorced, Exec-managerial, White, Female,40, <=50K
32, Never-married, Other-service, Black, Male,40, <=50K
76, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
44, Married-civ-spouse, Exec-managerial, White, Male,60, >50K
47, Never-married, Prof-specialty, White, Female,50, <=50K
20, Never-married, Tech-support, White, Female,40, <=50K
29, Never-married, Craft-repair, White, Male,40, <=50K
32, Married-civ-spouse, Craft-repair, White, Male,40, >50K
17, Never-married, ?, White, Female,32, <=50K
30, Never-married, Handlers-cleaners, White, Male,40, <=50K
31, Never-married, Adm-clerical, White, Female,40, <=50K
42, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
24, Never-married, Sales, White, Male,40, <=50K
38, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
56, Married-civ-spouse, Other-service, White, Male,50, >50K
28, Married-civ-spouse, Sales, White, Female,25, <=50K
36, Never-married, Machine-op-inspct, White, Female,40, <=50K
53, Married-civ-spouse, Handlers-cleaners, White, Male,50, <=50K
56, Married-civ-spouse, Sales, White, Male,50, <=50K
49, Married-civ-spouse, Craft-repair, Black, Male,40, >50K
55, Married-civ-spouse, Sales, White, Male,56, <=50K
22, Never-married, Craft-repair, White, Male,41, <=50K
21, Never-married, Other-service, White, Female,40, <=50K
40, Married-civ-spouse, Exec-managerial, White, Male,60, <=50K
30, Never-married, Exec-managerial, Black, Male,40, <=50K
29, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
19, Never-married, Other-service, Black, Male,35, <=50K
47, Married-civ-spouse, Exec-managerial, White, Female,40, >50K
20, Never-married, Adm-clerical, White, Female,28, <=50K
31, Married-civ-spouse, Adm-clerical, White, Male,40, >50K
35, Married-civ-spouse, ?, White, Male,40, <=50K
39, Divorced, Craft-repair, White, Male,40, <=50K
28, Never-married, Sales, White, Female,60, <=50K
24, Never-married, Other-service, White, Female,40, <=50K
38, Married-civ-spouse, Craft-repair, White, Male,35, <=50K
37, Married-civ-spouse, Sales, White, Male,50, <=50K
46, Divorced, Tech-support, Black, Female,36, <=50K
38, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
43, Married-civ-spouse, Craft-repair, White, Male,60, <=50K
27, Married-civ-spouse, Adm-clerical, White, Female,35, <=50K
20, Never-married, Sales, White, Male,20, <=50K
49, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, >50K
61, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
27, Never-married, Sales, White, Female,40, <=50K
19, Never-married, Other-service, White, Male,30, <=50K
45, Never-married, Prof-specialty, White, Female,40, >50K
70, Never-married, Tech-support, White, Male,40, <=50K
31, Never-married, Transport-moving, Black, Female,30, <=50K
22, Married-civ-spouse, Other-service, White, Male,24, <=50K
36, Widowed, Other-service, White, Female,24, <=50K
64, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
43, Divorced, ?, White, Female,40, <=50K
47, Divorced, Adm-clerical, White, Female,38, <=50K
34, Never-married, Adm-clerical, White, Female,40, <=50K
33, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, <=50K
21, Never-married, Craft-repair, White, Male,35, <=50K
52, Divorced, ?, White, Male,45, >50K
48, Married-civ-spouse, Craft-repair, White, Male,46, <=50K
23, Never-married, Handlers-cleaners, White, Male,40, <=50K
71, Separated, Sales, Black, Male,2, <=50K
29, Divorced, Craft-repair, White, Male,60, <=50K
42, Separated, Other-service, Black, Male,50, <=50K
68, Divorced, ?, White, Female,20, <=50K
25, Never-married, Other-service, White, Female,40, <=50K
44, Divorced, Exec-managerial, Asian-Pac-Islander, Female,40, <=50K
