Income,Age,Workclass,Education.num,Race,Sex,Hours.per.week
Low,39,State-gov,13,White,Male,40
Low,50,Self-emp-not-inc,13,White,Male,13
Low,38,Private,NA,White,Male,40
Low,53,Private,7,Black,Male,40
Low,28,NA,13,Black,Female,40
Low,37,Private,14,White,Female,40
Low,49,Private,5,Black,Female,16
High,52,Self-emp-not-inc,9,White,NA,45
High,31,Private,14,White,Female,NA
High,NA,Private,13,White,Male,40
High,37,Private,10,Black,Male,80
High,30,State-gov,13,Asian-Pac-Islander,Male,40
Low,23,Private,13,NA,Female,NA
Low,32,Private,12,Black,Male,50
High,40,Private,11,Asian-Pac-Islander,Male,NA
Low,34,Private,4,NA,Male,45
Low,25,Self-emp-not-inc,9,White,Male,35
Low,32,NA,NA,White,Male,40
Low,38,Private,7,White,Male,NA
High,43,Self-emp-not-inc,14,White,Female,45
High,40,Private,16,White,Male,60
Low,54,Private,9,Black,Female,20
Low,35,Federal-gov,5,Black,Male,NA
Low,43,Private,7,White,Male,40
Low,59,Private,9,White,Female,40
High,56,Local-gov,13,White,Male,40
Low,19,Private,9,NA,Male,40
High,54,?,10,Asian-Pac-Islander,Male,60
Low,39,Private,9,White,Male,80
Low,49,Private,9,White,Male,40
Low,23,Local-gov,12,White,Male,52
Low,20,Private,10,Black,Male,44
Low,45,Private,13,White,Male,40
Low,30,Federal-gov,10,White,Male,NA
Low,22,State-gov,10,Black,Male,15
Low,48,Private,7,White,Male,40
Low,21,Private,10,White,Male,40
Low,19,Private,9,White,Female,25
High,31,Private,10,White,Male,38
Low,48,Self-emp-not-inc,12,White,Male,40
Low,31,Private,5,White,Male,43
Low,53,Self-emp-not-inc,13,White,Male,40
Low,24,Private,13,White,Male,50
Low,49,Private,9,White,Female,40
Low,25,Private,9,White,Male,NA
High,57,Federal-gov,13,Black,Male,40
Low,53,Private,9,White,Male,38
Low,44,Private,14,White,Female,40
Low,41,State-gov,11,White,Male,40
Low,29,Private,11,White,Male,43
Low,25,NA,10,Other,Female,40
Low,18,Private,9,White,NA,30
High,47,Private,15,White,Female,60
High,50,Federal-gov,13,White,Male,55
Low,NA,Self-emp-inc,9,White,Male,60
High,43,Private,10,White,Male,40
Low,46,Private,3,White,Male,40
Low,35,NA,11,White,Male,40
Low,41,Private,9,White,Male,48
Low,30,Private,9,White,Male,40
Low,30,Private,13,White,Male,40
Low,32,?,4,White,NA,40
Low,48,Private,9,White,Male,NA
High,42,NA,16,White,Male,45
Low,NA,Private,10,NA,Male,58
Low,36,Private,9,White,Male,40
Low,28,Private,10,White,Female,40
High,53,Private,9,White,Female,40
High,49,Self-emp-inc,10,White,Male,50
Low,25,?,10,White,Male,40
Low,19,Private,10,White,Male,32
Low,31,Private,13,Black,Female,40
High,29,Self-emp-not-inc,13,White,Male,70
Low,23,Private,10,White,Male,40
Low,79,Private,10,White,Male,20
Low,27,Private,9,White,Male,40
Low,40,Private,12,White,Male,40
Low,67,?,6,White,Male,NA
Low,18,Private,7,White,Female,22
Low,NA,Local-gov,4,White,Male,40
Low,18,NA,9,White,Male,30
Low,52,Private,13,White,Male,40
Low,46,Private,9,White,Female,40
Low,59,Private,9,White,Male,48
High,44,Private,9,NA,Female,40
Low,NA,Private,9,White,Female,35
High,49,Local-gov,9,White,Male,40
Low,33,Private,14,White,Male,50
Low,30,Private,NA,White,Male,40
High,43,Federal-gov,16,White,Female,50
Low,57,Private,11,White,Male,40
Low,37,Private,10,White,Female,40
Low,28,Private,10,Black,Female,25
Low,NA,Private,9,Asian-Pac-Islander,Female,35
High,34,Local-gov,13,White,Male,40
Low,29,Local-gov,10,White,Male,50
High,48,Self-emp-not-inc,16,NA,Male,60
High,37,Private,10,White,Male,48
Low,48,Private,12,White,Female,40
Low,32,Federal-gov,9,Black,Male,40
High,76,Private,14,White,Male,40
High,44,Private,13,White,Male,60
Low,47,Self-emp-not-inc,14,White,NA,50
Low,20,Private,10,White,Female,40
Low,29,Private,9,White,Male,40
High,32,Self-emp-inc,9,NA,Male,40
Low,17,?,6,White,Female,32
Low,30,Private,7,White,Male,40
Low,31,Local-gov,9,White,Female,40
Low,42,Private,NA,White,Male,40
Low,24,Private,13,White,Male,40
High,38,Private,15,White,Male,40
High,56,Self-emp-not-inc,9,White,Male,50
Low,28,Private,10,White,Female,25
Low,36,Private,9,White,Female,40
Low,53,Private,5,White,Male,50
Low,56,Self-emp-inc,10,White,Male,50
High,49,Local-gov,11,Black,Male,40
Low,55,Private,10,White,Male,56
Low,22,Private,9,White,Male,41
Low,21,Private,10,White,Female,40
Low,40,Private,13,White,Male,60
Low,30,Private,13,Black,Male,40
High,29,State-gov,13,White,Male,50
Low,19,Private,10,Black,Male,35
High,47,Private,13,White,Female,NA
Low,20,Private,10,White,Female,NA
