Company_Number,Company_Creation_Date,total_products,total_transactions,total_revenue,total_usage,total_accounts,churned
79,03APR1999:04:21:00,1,6,7.11e-15,13,1,0
182,03APR1999:04:21:00,1,38,3860.44,10088,1,0
246,03APR1999:04:21:00,5,608,805172.93,17895716,3,0
282,03APR1999:04:21:00,3,32,4507.74,198452,1,0
291,03APR1999:04:21:00,1,1,0.4,38,1,0
355,03APR1999:04:21:00,1,2,0.7,7,1,0
428,03APR1999:04:21:00,5,405,474292.74,4326739,1,0
510,03APR1999:04:21:00,1,9,40.64,1623,2,0
524,03APR1999:04:21:00,5,517,597292.87,31626890,2618,0
597,03APR1999:04:21:00,1,74,22039.28,38319,1,0
1017,03APR1999:04:21:00,1,82,5757.37,77033,4,0
1606,03APR1999:04:21:00,1,4,1.5,15,1,0
1618,03APR1999:04:21:00,3,146,21509.95,671875,1,0
1648,03APR1999:04:21:00,5,366,488710.13,32604529,394,0
1766,03APR1999:04:21:00,1,8,313.65,2383,1,0
2290,03APR1999:04:21:00,3,131,71854.55,556449,8,0
2901,03APR1999:04:21:00,2,25,865.49,4300,1,0
3156,03APR1999:04:21:00,1,20,145.31,11283,1,0
3190,03APR1999:04:21:00,3,153,48533.67,1213216,1,1
3281,03APR1999:04:21:00,1,4,1234.48,7038,1,0
3427,03APR1999:04:21:00,1,2,0.1,1,1,0
3488,03APR1999:04:21:00,4,480,642393.78,21554794,1,0
3724,03APR1999:04:21:00,1,2,4.26,0,1,1
4060,03APR1999:04:21:00,5,529,2416936.16,8016935,1,0
4071,03APR1999:04:21:00,4,180,106915.93,948706,1,0
4150,03APR1999:04:21:00,3,89,8929.98,39835,1,0
4164,03APR1999:04:21:00,1,50,3427.7,197730,4,0
4500,03APR1999:04:21:00,3,110,27749.91,213528,1,0
4531,03APR1999:04:21:00,4,73,3998.01,31044,2,0
4771,03APR1999:04:21:00,2,36,47826.79,132326,2,0
5767,03APR1999:04:21:00,1,2,3.21,15,1,0
6058,03APR1999:04:21:00,3,342,338862.87,933528,11,0
6428,03APR1999:04:21:00,1,5,778.33,1640,2,0
6756,03APR1999:04:21:00,3,129,45500.16,516717,2,0
7082,03APR1999:04:21:00,1,3,-16.08,0,1,0
7379,03APR1999:04:21:00,1,119,27957.72,59441,2,0
8911,03APR1999:04:21:00,2,22,5268.86,6253,2,0
9107,03APR1999:04:21:00,1,2,0.13,9,1,0
9796,03APR1999:04:21:00,2,188,60402.77,2245764,1,0
9930,03APR1999:04:21:00,4,208,910863.62,165107,4,0
10077,03APR1999:04:21:00,1,15,150.1,198,1,0
10106,03APR1999:04:21:00,1,71,13073.45,68607,1,0
11016,03APR1999:04:21:00,1,57,10486.58,64830,1,0
11130,03APR1999:04:21:00,1,5,-268.2,1658,1,0
11539,03APR1999:04:21:00,2,83,128238.15,19913,4,0
11717,03APR1999:04:21:00,2,4,16.05,2,1,0
11891,03APR1999:04:21:00,6,589,598816.51,10042862,6,0
11902,03APR1999:04:21:00,1,2,20.92,39,1,0
12114,03APR1999:04:21:00,1,17,36.21,0,1,0
12224,03APR1999:04:21:00,2,5,8.33e-16,12,1,0
12524,03APR1999:04:21:00,2,20,22980.5,71,2,0
13090,03APR1999:04:21:00,4,345,910567.93,726465,1,0
13690,03APR1999:04:21:00,1,56,13559.63,40372,1,0
13701,03APR1999:04:21:00,1,20,560.77,4034,1,0
13704,03APR1999:04:21:00,2,80,28408.57,74803,2,1
13735,03APR1999:04:21:00,2,86,167956.01,4008176,2,1
13948,03APR1999:04:21:00,1,54,3436.66,10265,1,0
14257,03APR1999:04:21:00,1,3,321.05,5059,1,1
14290,03APR1999:04:21:00,4,20,4705.85,2979,5,0
14321,03APR1999:04:21:00,2,3,7.5,9,1,0
14396,03APR1999:04:21:00,1,16,0,0,1,0
14516,03APR1999:04:21:00,1,19,173.02,2821,1,0
14594,03APR1999:04:21:00,8,527,538059.57,5561074,2,0
14623,03APR1999:04:21:00,1,52,3179.66,104286,1,0
14649,03APR1999:04:21:00,6,555,983736.4,41890014,2,0
14661,03APR1999:04:21:00,1,56,2818.46,17413,1,0
14929,03APR1999:04:21:00,1,17,37.23,0,1,0
15372,03APR1999:04:21:00,2,83,38076.5,271819,2,1
15608,03APR1999:04:21:00,4,535,302781.18,7703602,45,0
15943,03APR1999:04:21:00,3,37,10253.82,15952,2,0
16125,03APR1999:04:21:00,2,47,59838.61,821931,1,0
16399,03APR1999:04:21:00,1,1,58.67,435,1,0
16519,03APR1999:04:21:00,2,8,-7175.98,0,1,0
16626,03APR1999:04:21:00,1,96,11213.57,20038,1,0
17244,03APR1999:04:21:00,1,35,779.85,26383,3,0
17709,03APR1999:04:21:00,5,335,518926.44,869153,3,0
17784,03APR1999:04:21:00,2,13,7661.29,813,1,0
18122,03APR1999:04:21:00,4,574,1996913.41,44260729,3,0
18677,03APR1999:04:21:00,2,165,144090.13,1286445,1,0
18780,03APR1999:04:21:00,4,423,888574.02,3233364,3,0
18849,03APR1999:04:21:00,1,2,245.9,279,1,1
18976,03APR1999:04:21:00,1,24,712.48,4844,1,0
19205,03APR1999:04:21:00,3,365,183727.78,5805177,1,0
19244,03APR1999:04:21:00,2,7,-1473.17,0,1,0
19364,03APR1999:04:21:00,6,606,1052322,5963615,148,0
19679,03APR1999:04:21:00,1,2,4.74,163,1,0
19874,03APR1999:04:21:00,1,32,852.09,28245,3,0
20109,03APR1999:04:21:00,2,78,8403.28,12755,1,0
20115,03APR1999:04:21:00,2,82,11732.09,319242,1,0
20189,03APR1999:04:21:00,5,215,129903.92,762600,1,0
20239,03APR1999:04:21:00,1,5,963.23,4508,1,0
20329,03APR1999:04:21:00,2,13,117.91,8116,2,0
20507,03APR1999:04:21:00,1,23,2374.09,25733,1,0
20693,03APR1999:04:21:00,3,172,39268.81,125409,1,0
21285,03APR1999:04:21:00,6,405,573973.11,32941724,1,0
21408,03APR1999:04:21:00,4,290,286808.22,20241159,3,0
21551,03APR1999:04:21:00,1,78,17068.14,90738,4,0
21668,03APR1999:04:21:00,1,3,-49.98,0,1,0
21672,03APR1999:04:21:00,5,417,782837.05,8518583,89,0
21774,03APR1999:04:21:00,1,29,8797.52,10974,1,0
21810,03APR1999:04:21:00,4,200,207282.09,88128,7,0
21845,03APR1999:04:21:00,1,6,317.17,448,1,0
22136,03APR1999:04:21:00,2,7,39.03,1697,1,0
22253,03APR1999:04:21:00,1,24,296.45,2582,1,0
22659,03APR1999:04:21:00,1,21,798.72,1503,1,0
22974,03APR1999:04:21:00,1,95,6968.33,32879,1,0
