"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"1","No","90s",79,1,6,7.11e-15,13,1
"2","No","90s",182,1,38,3860.44,10088,1
"3","No","90s",246,5,608,805172.93,17895716,3
"4","No","90s",282,3,32,4507.74,198452,1
"5","No","90s",291,1,1,0.4,38,1
"6","No","90s",355,1,2,0.7,7,1
"7","No","90s",428,5,405,474292.74,4326739,1
"8","No","90s",510,1,9,40.64,1623,2
"9","No","90s",524,5,517,597292.87,31626890,2618
"10","No","90s",597,1,74,22039.28,38319,1
"11","No","90s",1017,1,82,5757.37,77033,4
"12","No","90s",1606,1,4,1.5,15,1
"13","No","90s",1618,3,146,21509.95,671875,1
"14","No","90s",1648,5,366,488710.13,32604529,394
"15","No","90s",1766,1,8,313.65,2383,1
"16","No","90s",2290,3,131,71854.55,556449,8
"17","No","90s",2901,2,25,865.49,4300,1
"18","No","90s",3156,1,20,145.31,11283,1
"19","Yes","90s",3190,3,153,48533.67,1213216,1
"20","No","90s",3281,1,4,1234.48,7038,1
"21","No","90s",3427,1,2,0.1,1,1
"22","No","90s",3488,4,480,642393.78,21554794,1
"23","Yes","90s",3724,1,2,4.26,0,1
"24","No","90s",4060,5,529,2416936.16,8016935,1
"25","No","90s",4071,4,180,106915.93,948706,1
"26","No","90s",4150,3,89,8929.98,39835,1
"27","No","90s",4164,1,50,3427.7,197730,4
"28","No","90s",4500,3,110,27749.91,213528,1
"29","No","90s",4531,4,73,3998.01,31044,2
"30","No","90s",4771,2,36,47826.79,132326,2
"31","No","90s",5767,1,2,3.21,15,1
"32","No","90s",6058,3,342,338862.87,933528,11
"33","No","90s",6428,1,5,778.33,1640,2
"34","No","90s",6756,3,129,45500.16,516717,2
"35","No","90s",7082,1,3,-16.08,0,1
"36","No","90s",7379,1,119,27957.72,59441,2
"37","No","90s",8911,2,22,5268.86,6253,2
"38","No","90s",9107,1,2,0.13,9,1
"39","No","90s",9796,2,188,60402.77,2245764,1
"40","No","90s",9930,4,208,910863.62,165107,4
"41","No","90s",10077,1,15,150.1,198,1
"42","No","90s",10106,1,71,13073.45,68607,1
"43","No","90s",11016,1,57,10486.58,64830,1
"44","No","90s",11130,1,5,-268.2,1658,1
"45","No","90s",11539,2,83,128238.15,19913,4
"46","No","90s",11717,2,4,16.05,2,1
"47","No","90s",11891,6,589,598816.51,10042862,6
"48","No","90s",11902,1,2,20.92,39,1
"49","No","90s",12114,1,17,36.21,0,1
"50","No","90s",12224,2,5,8.33e-16,12,1
"51","No","90s",12524,2,20,22980.5,71,2
"52","No","90s",13090,4,345,910567.93,726465,1
"53","No","90s",13690,1,56,13559.63,40372,1
"54","No","90s",13701,1,20,560.77,4034,1
"55","Yes","90s",13704,2,80,28408.57,74803,2
"56","Yes","90s",13735,2,86,167956.01,4008176,2
"57","No","90s",13948,1,54,3436.66,10265,1
"58","Yes","90s",14257,1,3,321.05,5059,1
"59","No","90s",14290,4,20,4705.85,2979,5
"60","No","90s",14321,2,3,7.5,9,1
"61","No","90s",14396,1,16,0,0,1
"62","No","90s",14516,1,19,173.02,2821,1
"63","No","90s",14594,8,527,538059.57,5561074,2
"64","No","90s",14623,1,52,3179.66,104286,1
"65","No","90s",14649,6,555,983736.4,41890014,2
"66","No","90s",14661,1,56,2818.46,17413,1
"67","No","90s",14929,1,17,37.23,0,1
"68","Yes","90s",15372,2,83,38076.5,271819,2
"69","No","90s",15608,4,535,302781.18,7703602,45
"70","No","90s",15943,3,37,10253.82,15952,2
"71","No","90s",16125,2,47,59838.61,821931,1
"72","No","90s",16399,1,1,58.67,435,1
"73","No","90s",16519,2,8,-7175.98,0,1
"74","No","90s",16626,1,96,11213.57,20038,1
"75","No","90s",17244,1,35,779.85,26383,3
"76","No","90s",17709,5,335,518926.44,869153,3
"77","No","90s",17784,2,13,7661.29,813,1
"78","No","90s",18122,4,574,1996913.41,44260729,3
"79","No","90s",18677,2,165,144090.13,1286445,1
"80","No","90s",18780,4,423,888574.02,3233364,3
"81","Yes","90s",18849,1,2,245.9,279,1
"82","No","90s",18976,1,24,712.48,4844,1
"83","No","90s",19205,3,365,183727.78,5805177,1
"84","No","90s",19244,2,7,-1473.17,0,1
"85","No","90s",19364,6,606,1052322,5963615,148
"86","No","90s",19679,1,2,4.74,163,1
"87","No","90s",19874,1,32,852.09,28245,3
"88","No","90s",20109,2,78,8403.28,12755,1
"89","No","90s",20115,2,82,11732.09,319242,1
"90","No","90s",20189,5,215,129903.92,762600,1
"91","No","90s",20239,1,5,963.23,4508,1
"92","No","90s",20329,2,13,117.91,8116,2
"93","No","90s",20507,1,23,2374.09,25733,1
"94","No","90s",20693,3,172,39268.81,125409,1
"95","No","90s",21285,6,405,573973.11,32941724,1
"96","No","90s",21408,4,290,286808.22,20241159,3
"97","No","90s",21551,1,78,17068.14,90738,4
"98","No","90s",21668,1,3,-49.98,0,1
"99","No","90s",21672,5,417,782837.05,8518583,89
"100","No","90s",21774,1,29,8797.52,10974,1
"101","No","90s",21810,4,200,207282.09,88128,7
"102","No","90s",21845,1,6,317.17,448,1
"103","No","90s",22136,2,7,39.03,1697,1
"104","No","90s",22253,1,24,296.45,2582,1
"105","No","90s",22659,1,21,798.72,1503,1
"106","No","90s",22974,1,95,6968.33,32879,1
"107","No","90s",23281,1,3,109.21,166,1
"108","No","90s",23293,1,82,17565.72,28906,1
"109","No","90s",23316,1,2,0.2,2,1
"110","No","90s",23483,1,21,18.47,1284,1
"111","Yes","90s",23528,2,67,11975.06,135794,1
"112","No","90s",23739,2,139,78252.5,452102,3
"113","No","90s",23837,1,11,878.59,1156,1
"114","No","90s",24305,3,203,51498.52,1178578,1
"115","No","90s",24656,1,3,157.74,370,1
"116","No","90s",25068,1,2,165.17,3446,1
"117","No","90s",25145,1,34,1543.14,21905,2
"118","No","90s",25146,1,47,4682.67,43755,2
"119","No","90s",25518,2,48,46393.89,1950,1
"120","No","90s",25800,7,543,680797.91,18106361,15
"121","Yes","90s",26114,1,35,985.26,8964,3
"122","No","90s",26262,3,145,97802.67,3561231,1
"123","No","90s",26294,4,439,382632.01,7395639,2
"124","No","90s",26618,1,14,55.24,3407,3
"125","Yes","90s",26984,1,7,-8.76,0,1
"126","No","90s",27207,5,639,1245778.39,12980887,4
"127","No","90s",27224,9,1124,14917779.62,861482918,22
"128","No","90s",27262,2,56,5000.48,35139,7
"129","No","90s",27345,1,12,26.28,0,1
"130","No","90s",27499,1,33,174.93,6235,1
"131","No","90s",27622,4,264,835136.92,39414477,2
"132","No","90s",27697,1,38,5540.5,109258,1
"133","No","90s",27719,2,76,34459.8,299735,1
"134","No","90s",27818,3,135,44624.4,1183046,2
"135","No","90s",27839,2,111,22282.7,70191,4
"136","No","90s",28189,2,123,9399.51,427780,7
"137","No","90s",28363,1,1,2.49,0,1
"138","No","90s",28556,1,64,4753.96,29650,1
"139","No","90s",29179,2,8,7792.25,242,1
"140","No","90s",30520,5,454,661777.24,23166955,2
"141","No","90s",32648,1,18,14539.77,11202,1
"142","No","90s",35038,1,40,733.95,28381,1
"143","No","90s",35776,1,19,883.83,4800,1
"144","No","90s",36605,6,422,271211.55,1645248,3
"145","No","90s",36659,1,57,5525.33,28186,1
"146","No","90s",36660,1,38,10196.05,644657,23
